129962,50.1
153301,63.5
161605,72.1
172663,51.3
214795,47.5
234459,55.5
250488,48.9
267473,33.6
276667,62.7
286354,67.9
307036,37.5
366958,31.7
380643,49.0
388989,43.4
414078,47.6
433760,62.9
468791,47.2
482933,39.7
484559,58.6
493236,50.0
520451,67.1
521806,53.8
546303,51.6
547612,64.1
551393,49.9
555124,57.6
557298,52.2
585070,50.9
607728,32.7
626209,54.8
629676,57.8
633323,43.1
669584,52.7
686162,50.8
694941,42.1
744546,56.7
773892,48.9
778426,58.1
783540,34.8
794517,36.1
798750,60.7
840399,50.4
856021,50.1
901493,49.7
904425,53.3
907761,56.2
946557,58.5
949808,62.7
953709,47.6
959303,32.6
