904425,53.3,F
686162,50.8,F
468791,47.2,F
901493,49.7,F
694941,42.1,F
626209,54.8,F
783540,34.8,F
493236,50.0,F
414078,47.6,F
798750,60.7,D
949808,62.7,D
959303,32.6,F
482933,39.7,F
276667,62.7,D
744546,56.7,F
250488,48.9,F
856021,50.1,F
629676,57.8,F
307036,37.5,F
366958,31.7,F
773892,48.9,F
840399,50.4,F
267473,33.6,F
551393,49.9,F
172663,51.3,F
555124,57.6,F
953709,47.6,F
433760,62.9,D
585070,50.9,F
153301,63.5,D
669584,52.7,F
794517,36.1,F
521806,53.8,F
520451,67.1,D
557298,52.2,F
388989,43.4,F
129962,50.1,F
907761,56.2,F
286354,67.9,D
214795,47.5,F
607728,32.7,F
633323,43.1,F
547612,64.1,D
484559,58.6,F
778426,58.1,F
380643,49.0,F
234459,55.5,F
546303,51.6,F
161605,72.1,C
946557,58.5,F
